Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0113,21.69047558333333,Valid
TST-0135,16.30462635416665,Valid
TST-0339,18.38445820833332,Valid
TST-0260,21.809645833333338,Valid
TST-0195,24.679418270833324,Valid
TST-0286,28.50498966666667,Valid
TST-0015,23.093178208333324,Valid
TST-0263,19.877154979166665,Valid
TST-0147,24.378516083333334,Valid
TST-0002,24.39138525,Invalid
TST-0114,45.849688958333346,Valid
TST-0271,27.666063208333334,Invalid
TST-0223,21.88247052083334,Valid
TST-0344,16.497521749999997,Valid
TST-0183,32.22502529166668,Valid
TST-0327,32.868182108333315,Valid
TST-0250,19.60048395833332,Invalid
TST-0185,38.78943874999998,Valid
TST-0242,21.358132583333322,Valid
TST-0158,13.765220791666682,Valid
TST-0078,45.57022524999998,Valid
TST-0120,21.210589333333346,Invalid
TST-0093,29.699029999999993,Valid
TST-0051,16.023657708333314,Valid
TST-0010,16.417808916666672,Valid
TST-0013,51.4914604375,Valid
TST-0049,14.897194624999967,Valid
TST-0041,18.109506791666664,Valid
TST-0055,31.982263041666666,Valid
TST-0012,20.626775916666656,Valid
TST-0127,49.090152374999974,Valid
TST-0225,26.65702150000001,Valid
TST-0050,24.65878954166665,Valid
TST-0172,36.25698162500001,Invalid
TST-0079,33.360688875000015,Valid
TST-0046,22.168891937500007,Valid
TST-0325,18.518568416666707,Valid
TST-0280,20.96692872916666,Valid
TST-0140,15.326205916666654,Valid
TST-0244,47.19837487499997,Valid
TST-0203,20.865770041666675,Valid
TST-0238,18.559431541666683,Valid
TST-0092,28.848950249999977,Valid
TST-0307,13.919806104166682,Valid
TST-0176,30.959314729166664,Valid
TST-0115,17.511230145833352,Invalid
TST-0028,20.015070583333358,Invalid
TST-0317,19.76235660416669,Valid
TST-0251,37.98589462500001,Valid
TST-0301,15.244338687499992,Valid
TST-0116,37.04678504166666,Valid
TST-0056,24.14903904166666,Valid
TST-0166,26.842057416666666,Valid
TST-0247,32.24547424999996,Valid
TST-0291,27.43589320833337,Valid
TST-0167,30.088105937500018,Invalid
TST-0313,48.62971356249997,Valid
TST-0105,13.950361750000024,Valid
TST-0104,21.22223087499999,Valid
TST-0045,35.20707624999996,Valid
TST-0289,44.66888816666665,Valid
TST-0048,26.535268041666722,Valid
TST-0110,18.586265833333325,Valid
TST-0037,42.92770025000001,Valid
TST-0305,18.577445791666648,Valid
TST-0240,32.40688412500003,Valid
TST-0155,33.43888220833332,Valid
TST-0119,52.38655706249993,Valid
TST-0295,23.587827375000003,Valid
TST-0229,18.59086704166667,Valid
TST-0106,21.201572374999987,Valid
TST-0052,15.679393395833326,Valid
TST-0276,20.732212208333337,Invalid
TST-0216,21.861178499999983,Valid
TST-0208,20.37085077083335,Valid
TST-0188,21.79406629166669,Valid
TST-0145,49.15892843749997,Valid
TST-0039,21.61369837500001,Valid
TST-0173,19.383635041666665,Valid
TST-0082,20.23462658333333,Valid
TST-0296,36.69543739583333,Valid
TST-0297,35.3888075416667,Valid
TST-0125,17.803844416666657,Valid
TST-0199,22.39120341666666,Invalid
TST-0330,21.486433000000012,Valid
TST-0133,35.94198895833328,Valid
TST-0175,31.299275645833333,Valid
TST-0270,45.90267602083331,Valid
TST-0255,17.66077370833332,Valid
TST-0025,13.73279758333333,Valid
TST-0073,14.02971754166667,Valid
TST-0077,20.738420333333316,Valid
TST-0293,15.025070145833311,Valid
TST-0212,33.484357,Invalid
TST-0081,13.96654504166667,Valid
TST-0328,19.97219020833333,Valid
TST-0290,47.493102041666646,Invalid
TST-0337,18.075105791666672,Valid
TST-0171,23.273144000000038,Valid
TST-0057,29.372428708333324,Valid
TST-0284,19.51445235416667,Valid
TST-0063,23.970600083333316,Valid
TST-0022,19.38911325,Valid
TST-0044,18.59562491666664,Valid
TST-0035,24.494005000000012,Valid
TST-0258,44.589030125000036,Invalid
TST-0334,27.00982412500001,Valid
TST-0018,27.41387787500001,Valid
TST-0321,21.514814520833347,Valid
TST-0282,14.740893791666673,Valid
TST-0142,46.119481916666665,Invalid
TST-0312,22.30717479166666,Valid
TST-0101,21.26649072916666,Valid
TST-0134,20.125987791666663,Invalid
TST-0287,32.951176999999994,Valid
TST-0153,33.62919379166665,Valid
TST-0299,30.9934733541667,Valid
TST-0204,22.94659725,Valid
TST-0090,19.905868645833312,Valid
TST-0186,33.22604354166665,Valid
TST-0209,48.475969125,Valid
TST-0130,22.377280500000005,Valid
TST-0224,22.644125666666646,Valid
TST-0302,25.158366145833334,Valid
TST-0118,15.364582604166662,Valid
TST-0292,20.31772072916666,Valid
TST-0345,22.14500770833333,Valid
TST-0108,18.772044083333334,Valid
TST-0071,15.406829875000005,Valid
TST-0053,15.969396645833317,Valid
TST-0273,17.778260666666664,Valid
TST-0300,15.376572791666655,Valid
TST-0148,19.713165166666666,Valid
TST-0347,39.41681583333334,Valid
TST-0146,28.575092833333333,Valid
TST-0241,18.772188583333318,Valid
TST-0096,17.130032500000006,Valid
TST-0220,22.9835434166667,Valid
TST-0174,22.856332145833303,Valid
TST-0246,14.829363291666663,Valid
TST-0136,18.6824460208333,Valid
TST-0109,22.389634124999994,Valid
TST-0040,37.654231583333306,Valid
TST-0043,20.554546104166658,Invalid
TST-0181,36.633278520833365,Valid
TST-0268,17.55148679166665,Valid
TST-0253,16.09380233333332,Valid
TST-0017,25.682680124999997,Valid
TST-0201,22.981498333333324,Valid
TST-0129,17.06190549999999,Valid
TST-0068,46.810197750000015,Valid
TST-0161,14.871377416666665,Valid
TST-0298,21.293485020833323,Invalid
TST-0094,42.542877354166755,Valid
TST-0336,27.64662477083334,Invalid
TST-0149,19.72711679166669,Valid
TST-0191,48.536605645833305,Valid
TST-0032,18.999442791666656,Valid
TST-0054,17.332004541666688,Valid
TST-0349,51.701871458333315,Valid
TST-0100,17.799781000000028,Valid
TST-0162,19.80074250000001,Valid
TST-0326,23.502187958333312,Invalid
TST-0340,19.418474291666676,Valid
TST-0319,28.81431958333336,Valid
TST-0064,19.091791999999995,Valid
TST-0259,29.225530541666703,Valid
TST-0066,43.74188762499998,Valid
TST-0123,47.66749520833334,Valid
TST-0218,20.584188062500008,Valid
TST-0261,22.99436545833334,Valid
TST-0196,20.709938250000004,Valid
TST-0281,26.97413279166665,Invalid
TST-0303,38.32463904166663,Valid
TST-0254,22.556080291666674,Valid
TST-0322,18.47480537499997,Valid
TST-0139,17.383523520833325,Valid
TST-0257,35.95071358333336,Valid
TST-0033,16.76219691666666,Valid
TST-0112,49.58362268749998,Valid
TST-0021,28.359002875000005,Valid
TST-0083,18.590909791666675,Valid
TST-0150,23.90399374999999,Valid
TST-0265,23.958465125000004,Valid
TST-0227,33.73041252083334,Valid
TST-0170,25.036814416666676,Valid
TST-0318,23.08231529166668,Valid
TST-0097,16.464689,Valid
TST-0152,34.77990037500002,Valid
TST-0084,54.21880583333339,Valid
TST-0124,17.58715547916668,Valid
TST-0098,33.2721024583333,Valid
TST-0341,30.011671333333346,Valid
TST-0042,29.51081741666665,Invalid
TST-0189,19.48174304166669,Valid
TST-0285,22.782116458333334,Valid
TST-0020,22.018023333333332,Valid
TST-0314,40.96446945833334,Valid
